# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug 31 09:28:13 2022
#
# User preference: *
#
# CONSTRAINT:  where (fpwg_disp_status like '%certified%')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN fpwg_koi_period: KOI Transit Period [days]
# COLUMN fpwg_disp_status: High Level Disposition
# COLUMN fpwg_disp_source: Target Is Source High Level Flag
# COLUMN fpwg_disp_eb:   Eclipsing Binary High Level Flag
# COLUMN fpwg_disp_offst: Offset High Level Flag
# COLUMN fpwg_disp_perep: Period Epoch Match High Level Flag
# COLUMN fpwg_disp_other: Other False Positive High Level Flag
#
kepid,kepoi_name,fpwg_koi_period,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other
892772,K01009.01,5.09,CERTIFIED FP,0,0,1,0,0
1026032,K06252.01,8.46,CERTIFIED FP,1,1,0,0,0
1161949,K04920.01,473.95,CERTIFIED FA,1,0,0,0,0
1293031,K04162.01,0.54,CERTIFIED FA,1,0,0,0,0
1293046,K07622.01,36.27,CERTIFIED FP,0,0,1,0,0
1432214,K00998.01,161.79,CERTIFIED FP,1,1,0,0,0
1433962,K00982.01,1.59,CERTIFIED FP,0,1,1,0,0
1433980,K03924.01,1.59,CERTIFIED FP,1,1,0,0,0
1434395,K07623.01,2.22,CERTIFIED FP,0,0,1,0,0
1571511,K00362.01,14.02,CERTIFIED FP,1,1,0,0,0
1572948,K04924.01,3.00,CERTIFIED FP,0,0,1,0,0
1575690,K03658.01,2.25,CERTIFIED FP,1,1,0,0,0
1575873,K04359.01,0.63,CERTIFIED FP,0,0,1,0,0
1722276,K01008.01,569.93,CERTIFIED FP,1,1,0,0,0
1724513,K04224.01,1.98,CERTIFIED FP,0,0,1,0,0
1725193,K04925.01,2.96,CERTIFIED FP,1,1,0,0,0
1870398,K04927.01,43.14,CERTIFIED FP,1,1,0,0,0
1995712,K07626.01,462.12,CERTIFIED FA,1,0,0,0,0
1995732,K03351.01,77.36,CERTIFIED FP,1,1,0,0,0
1996679,K00147.01,145.56,CERTIFIED FP,0,0,1,0,0
2010152,K08084.01,317.75,CERTIFIED FA,1,0,0,0,0
2010191,K03999.01,3.44,CERTIFIED FP,0,1,1,0,0
2010607,K04929.01,18.63,CERTIFIED FA,1,0,0,0,0
2012722,K06257.01,2.33,CERTIFIED FA,1,0,0,0,0
2013883,K06258.01,0.76,CERTIFIED FP,0,0,1,0,0
2014991,K02178.01,6.50,CERTIFIED FP,0,0,1,0,0
2015013,K04930.01,27.89,CERTIFIED FP,0,1,1,0,0
2019076,K03585.01,3.56,CERTIFIED FP,1,1,0,0,0
2021440,K01987.01,7.81,CERTIFIED FP,0,1,1,0,0
2140389,K07627.01,0.97,CERTIFIED FP,0,1,1,0,0
2141783,K02201.01,116.52,CERTIFIED FP,1,1,0,0,0
2161623,K06094.01,2.28,CERTIFIED FP,1,1,0,0,0
2162994,K06260.01,4.10,CERTIFIED FP,1,1,0,0,0
2165352,K04934.01,0.79,CERTIFIED FP,0,1,1,0,0
2166200,K03735.01,8.10,CERTIFIED FP,1,1,0,0,0
2166206,K01028.01,8.10,CERTIFIED FP,0,0,1,1,0
2167444,K06261.01,2.44,CERTIFIED FA,1,0,0,0,0
2167890,K03670.01,2.65,CERTIFIED FP,1,1,0,0,0
2302758,K07629.01,0.54,CERTIFIED FP,0,1,1,0,0
2305255,K04935.01,24.57,CERTIFIED FA,1,0,0,0,0
2305372,K06264.01,1.40,CERTIFIED FP,1,1,0,0,0
2305543,K04936.01,0.68,CERTIFIED FP,1,1,0,0,0
2306740,K06265.01,10.31,CERTIFIED FP,1,1,0,0,0
2306756,K00113.01,386.60,CERTIFIED FP,1,1,0,0,0
2307206,K03549.01,204.03,CERTIFIED FP,1,1,0,0,0
2308411,K07631.01,0.98,CERTIFIED FP,0,0,1,0,0
2308957,K06266.01,1.11,CERTIFIED FP,1,1,0,0,0
2309585,K01004.01,1.84,CERTIFIED FP,0,0,1,1,0
2309587,K05982.01,1.84,CERTIFIED FP,1,1,0,0,0
2309719,K01020.01,54.36,CERTIFIED FP,1,1,0,0,0
2309910,K04937.01,1.84,CERTIFIED FP,0,0,1,0,0
2436378,K02682.01,8.53,CERTIFIED FP,1,1,0,0,0
2437060,K03712.01,3.19,CERTIFIED FP,1,1,0,0,0
2437112,K03461.02,3.19,CERTIFIED FP,0,0,1,0,0
2437112,K03461.01,18.80,CERTIFIED FP,0,0,1,1,0
2437149,K03598.01,18.80,CERTIFIED FP,1,1,0,0,0
2437209,K04939.01,281.37,CERTIFIED FP,1,1,0,0,0
2437452,K06268.01,7.23,CERTIFIED FP,1,1,0,0,0
2437488,K03920.01,14.47,CERTIFIED FP,0,1,1,1,0
2437783,K03745.01,7.45,CERTIFIED FP,1,1,0,0,0
2437804,K06269.01,7.45,CERTIFIED FP,0,0,1,1,0
2437897,K04909.01,1.65,CERTIFIED FP,0,0,1,0,0
2438061,K06270.01,2.44,CERTIFIED FP,1,1,0,0,0
2438062,K06271.01,2.44,CERTIFIED FP,0,1,1,1,0
2438070,K00363.01,2.44,CERTIFIED FP,0,1,1,1,0
2438406,K04941.01,262.71,CERTIFIED FA,1,0,0,0,0
2438490,K03699.01,3.32,CERTIFIED FP,1,1,0,0,0
2438502,K01003.01,8.36,CERTIFIED FP,1,1,0,0,0
2438513,K01944.02,8.36,CERTIFIED FP,0,0,1,1,0
2438517,K06272.01,3.32,CERTIFIED FP,0,0,1,1,0
2440757,K00792.01,1.43,CERTIFIED FP,1,1,0,0,0
2441151,K00603.01,2.19,CERTIFIED FP,0,0,1,1,0
2441161,K03642.01,2.19,CERTIFIED FP,1,1,0,0,0
2441728,K01000.01,0.86,CERTIFIED FP,0,1,1,0,0
2442084,K06273.01,49.79,CERTIFIED FP,1,1,0,0,0
2442359,K03997.01,0.55,CERTIFIED FP,0,0,1,0,0
2445129,K00793.01,10.32,CERTIFIED FP,0,1,1,0,0
2445134,K05983.01,8.41,CERTIFIED FP,1,1,0,0,0
2445154,K01023.01,8.41,CERTIFIED FP,0,0,1,1,0
2445975,K00053.01,3.39,CERTIFIED FP,0,0,1,0,0
2446113,K00379.01,6.72,CERTIFIED FP,0,0,1,0,0
2446134,K07632.01,39.13,CERTIFIED FA,1,0,0,0,0
2446623,K03674.01,175.07,CERTIFIED FP,1,1,0,0,0
2449053,K07633.01,0.74,CERTIFIED FP,0,1,1,1,0
2449074,K00378.01,4.94,CERTIFIED FP,0,0,1,1,0
2449090,K03702.01,4.94,CERTIFIED FP,0,1,1,0,0
2452289,K04942.01,6.04,CERTIFIED FP,0,1,1,0,0
2452440,K03687.01,8.10,CERTIFIED FP,0,1,1,0,0
2452450,K00380.01,8.10,CERTIFIED FP,0,0,1,1,0
2557430,K06277.01,0.65,CERTIFIED FP,0,1,1,0,0
2558363,K01021.01,0.55,CERTIFIED FP,0,0,1,1,0
2558370,K03855.01,0.55,CERTIFIED FP,1,1,0,0,0
2568971,K06278.01,5.09,CERTIFIED FA,1,0,0,0,0
2569488,K04944.01,1.52,CERTIFIED FP,0,0,1,1,0
2569494,K03704.01,1.52,CERTIFIED FP,1,1,0,0,0
2569516,K04945.01,45.58,CERTIFIED FP,0,0,1,0,0
